UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
7411,_RARE_,L,299.9,309.4,1396,38.8,130,0,0,0,0,0,0
9866,_RARE_,L,298.9,310.2,1511,41.1,217,0,0,0,0,0,0
376,_RARE_,M,297.8,308.3,1500,43.8,100,0,0,0,0,0,0
7865,_RARE_,M,300.5,312.0,1639,30.2,200,0,0,0,0,0,0
3423,_RARE_,M,301.7,310.1,1537,39.9,68,0,0,0,0,0,0
770,_RARE_,L,297.2,308.2,1588,37.2,15,0,0,0,0,0,0
9134,_RARE_,L,297.9,307.8,1632,34.0,53,0,0,0,0,0,0
4159,_RARE_,L,301.7,310.6,1565,40.4,122,0,0,0,0,0,0
9150,_RARE_,M,297.7,308.5,1693,31.6,87,0,0,0,0,0,0
7206,_RARE_,M,300.0,310.5,1704,21.7,14,0,0,0,0,0,0
1248,_RARE_,L,297.2,308.4,1881,23.4,84,0,0,0,0,0,0
5878,_RARE_,L,301.5,311.0,1590,29.6,111,0,0,0,0,0,0
3635,_RARE_,M,301.7,310.8,1558,37.8,72,0,0,0,0,0,0
6865,_RARE_,L,301.3,310.6,1371,61.4,77,1,0,0,1,0,0
9395,_RARE_,L,298.0,308.9,1426,43.0,98,0,0,0,0,0,0
1514,_RARE_,H,298.4,308.8,1682,32.1,89,0,0,0,0,0,0
8682,_RARE_,L,297.4,308.4,1462,39.0,177,1,0,0,0,1,0
8379,_RARE_,L,298.7,310.2,1479,39.3,50,0,0,0,0,0,0
5333,_RARE_,L,303.3,312.6,1856,23.5,139,0,0,0,0,0,0
7298,_RARE_,L,299.8,310.0,1470,39.0,199,0,0,0,0,0,0
7990,_RARE_,M,300.7,312.3,1540,42.1,7,0,0,0,0,0,0
9911,_RARE_,L,298.3,308.1,1480,44.2,123,0,0,0,0,0,0
6006,_RARE_,H,300.6,310.2,1279,55.3,12,0,0,0,0,0,0
8048,_RARE_,L,300.8,312.0,1446,53.4,179,0,0,0,0,0,0
9959,_RARE_,H,298.4,308.4,1322,64.4,66,0,0,0,0,0,0
1407,_RARE_,L,298.1,309.9,1441,45.5,81,0,0,0,0,0,0
2232,_RARE_,L,299.2,308.5,1406,47.1,185,0,0,0,0,0,0
3037,_RARE_,L,300.3,309.6,1555,37.6,17,0,0,0,0,0,0
1764,_RARE_,L,298.5,307.8,1468,38.7,119,0,0,0,0,0,0
1062,_RARE_,M,303.4,312.6,1862,25.3,138,0,0,0,0,0,0
3877,_RARE_,L,302.6,311.2,2385,15.9,94,0,0,0,0,0,0
2312,_RARE_,H,299.2,308.7,1476,42.1,218,0,0,0,0,0,0
1932,_RARE_,H,298.0,307.5,1519,43.8,164,0,0,0,0,0,0
9206,_RARE_,M,297.9,309.0,1497,49.6,98,0,0,0,0,0,0
67,_RARE_,M,298.8,309.4,1411,44.0,126,0,0,0,0,0,0
5303,_RARE_,L,302.9,312.6,1939,21.4,122,0,0,0,0,0,0
5670,_RARE_,L,302.6,312.0,1440,52.4,72,0,0,0,0,0,0
9356,_RARE_,L,299.1,308.4,1647,30.7,153,0,0,0,0,0,0
4168,_RARE_,M,302.0,310.3,1508,39.0,19,0,0,0,0,0,0
7813,_RARE_,L,300.5,311.7,1314,40.9,78,0,0,0,0,0,0
